SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS	ISOFORM_NAME	IS_PRIMARY
NC_000964.3	24	297	-	BSU_none_49	S2	ncRNA		24	297	24	297	1	24	297	Y	
NC_000964.3	299	1067	-	BSU_none_50	S4	ncRNA		299	1067	299	1067	1	299	1067	Y	
NC_000964.3	410	1750	+	BSU00010	dnaA	gene		410	1750	410	1750	1	410	1750	Y	
NC_000964.3	1939	3075	+	BSU00020	dnaN	gene		1939	3075	1939	3075	1	1939	3075	Y	
NC_000964.3	3206	3421	+	BSU00030	yaaA	gene		3206	3421	3206	3421	1	3206	3421	Y	
NC_000964.3	3437	4549	+	BSU00040	recF	gene		3437	4549	3437	4549	1	3437	4549	Y	
NC_000964.3	4567	4812	+	BSU00050	yaaB	gene		4567	4812	4567	4812	1	4567	4812	Y	
NC_000964.3	4867	6783	+	BSU00060	gyrB	gene		4867	6783	4867	6783	1	4867	6783	Y	
NC_000964.3	6994	9459	+	BSU00070	gyrA	gene		6994	9459	6994	9459	1	6994	9459	Y	
NC_000964.3	9810	11364	+	BSU_RRNA_1	rrnO-16S	rRNA		9810	11364	9810	11364	1	9810	11364	Y	
NC_000964.3	11464	11540	+	BSU_TRNA_5	trnO-Ile	tRNA		11464	11540	11464	11540	1	11464	11540	Y	
NC_000964.3	11552	11627	+	BSU_TRNA_6	trnO-Ala	tRNA		11552	11627	11552	11627	1	11552	11627	Y	
NC_000964.3	11709	14636	+	BSU_RRNA_2	rrnO-23S	rRNA		11709	14636	11709	14636	1	11709	14636	Y	
NC_000964.3	14692	14810	+	BSU_RRNA_3	rrnO-5S	rRNA		14692	14810	14692	14810	1	14692	14810	Y	
NC_000964.3	14847	15794	-	BSU00080	yaaC	gene		14847	15794	14847	15794	1	14847	15794	Y	
NC_000964.3	15915	17381	+	BSU00090	guaB	gene		15915	17381	15915	17381	1	15915	17381	Y	
NC_000964.3	17238	17833	-	BSU_none_51	S9	ncRNA		17238	17833	17238	17833	1	17238	17833	Y	
NC_000964.3	17534	18865	+	BSU00100	dacA	gene		17534	18865	17534	18865	1	17534	18865	Y	
NC_000964.3	19062	19946	+	BSU00110	yaaD	gene		19062	19946	19062	19946	1	19062	19946	Y	
NC_000964.3	19194	19923	-	BSU_none_52	S13	ncRNA		19194	19923	19194	19923	1	19194	19923	Y	
NC_000964.3	19968	20558	+	BSU00120	yaaE	gene		19968	20558	19968	20558	1	19968	20558	Y	
NC_000964.3	20597	20845	+	Leader_serS	serS_leader	riboswitch		20597	20845	20597	20845	1	20597	20845	Y	
NC_000964.3	20880	22157	+	BSU00130	serS	gene		20880	22157	20880	22157	1	20880	22157	Y	
NC_000964.3	22292	22384	+	BSU_TRNA_7	trnSL-Ser1	tRNA		22292	22384	22292	22384	1	22292	22384	Y	
NC_000964.3	22496	23149	-	BSU00140	dck	gene		22496	23149	22496	23149	1	22496	23149	Y	
NC_000964.3	23146	23769	-	BSU00150	dgk	gene		23146	23769	23146	23769	1	23146	23769	Y	
NC_000964.3	23868	25151	-	BSU00160	yaaH	gene		23868	25151	23868	25151	1	23868	25151	Y	
NC_000964.3	25221	25766	-	BSU00170	yaaI	gene		25221	25766	25221	25766	1	25221	25766	Y	
NC_000964.3	25852	26337	+	BSU00180	tadA	gene		25852	26337	25852	26337	1	25852	26337	Y	
NC_000964.3	26814	28505	+	BSU00190	dnaX	gene		26814	28505	26814	28505	1	26814	28505	Y	
NC_000964.3	28529	28852	+	BSU00200	yaaK	gene		28529	28852	28529	28852	1	28529	28852	Y	
NC_000964.3	28867	29463	+	BSU00210	recR	gene		28867	29463	28867	29463	1	28867	29463	Y	
NC_000964.3	29481	29705	+	BSU00220	yaaL	gene		29481	29705	29481	29705	1	29481	29705	Y	
NC_000964.3	29772	30035	+	BSU00230	bofA	gene		29772	30035	29772	30035	1	29772	30035	Y	
NC_000964.3	30279	31832	+	BSU_RRNA_4	rrnA-16S	rRNA		30279	31832	30279	31832	1	30279	31832	Y	
NC_000964.3	31932	32008	+	BSU_TRNA_8	trnA-Ile	tRNA		31932	32008	31932	32008	1	31932	32008	Y	
NC_000964.3	32020	32095	+	BSU_TRNA_9	trnA-Ala	tRNA		32020	32095	32020	32095	1	32020	32095	Y	
NC_000964.3	32177	35103	+	BSU_RRNA_5	rrnA-23S	rRNA		32177	35103	32177	35103	1	32177	35103	Y	
NC_000964.3	35237	35355	+	BSU_RRNA_26	rrnA-5S	rRNA		35237	35355	35237	35355	1	35237	35355	Y	
NC_000964.3	35531	35725	+	BSU00240	csfB	gene		35531	35725	35531	35725	1	35531	35725	Y	
NC_000964.3	35845	36459	+	BSU00250	xpaC	gene		35845	36459	35845	36459	1	35845	36459	Y	
NC_000964.3	36478	37638	+	BSU00260	yaaN	gene		36478	37638	36478	37638	1	36478	37638	Y	
NC_000964.3	37720	39162	+	BSU00270	yaaO	gene		37720	39162	37720	39162	1	37720	39162	Y	
NC_000964.3	39159	39797	+	BSU00280	tmk	gene		39159	39797	39159	39797	1	39159	39797	Y	
NC_000964.3	39871	40200	+	BSU00290	yaaQ	gene		39871	40200	39871	40200	1	39871	40200	Y	
NC_000964.3	40213	40653	+	BSU00300	yaaR	gene		40213	40653	40213	40653	1	40213	40653	Y	
NC_000964.3	40665	41654	+	BSU00310	holB	gene		40665	41654	40665	41654	1	40665	41654	Y	
NC_000964.3	41657	42484	+	BSU00320	yaaT	gene		41657	42484	41657	42484	1	41657	42484	Y	
NC_000964.3	42499	42858	+	BSU00330	yabA	gene		42499	42858	42499	42858	1	42499	42858	Y	
NC_000964.3	42917	43660	+	BSU00340	yabB	gene		42917	43660	42917	43660	1	42917	43660	Y	
NC_000964.3	43647	43946	+	BSU00350	yazA	gene		43647	43946	43647	43946	1	43647	43946	Y	
NC_000964.3	43921	44799	+	BSU00360	yabC	gene		43921	44799	43921	44799	1	43921	44799	Y	
NC_000964.3	44848	45138	-	BSU00370	abrB	gene		44848	45138	44848	45138	1	44848	45138	Y	
NC_000964.3	45535	45632	+	Leader_metS	metS_leader	riboswitch		45535	45632	45535	45632	1	45535	45632	Y	
NC_000964.3	45633	47627	+	BSU00380	metS	gene		45633	47627	45633	47627	1	45633	47627	Y	
NC_000964.3	47673	50019	-	BSU_none_53	S25	ncRNA		47673	50019	47673	50019	1	47673	50019	Y	
NC_000964.3	47706	48473	+	BSU00390	yabD	gene		47706	48473	47706	48473	1	47706	48473	Y	
NC_000964.3	48629	49942	+	BSU00400	yabE	gene		48629	49942	48629	49942	1	48629	49942	Y	
NC_000964.3	50087	50647	+	BSU00410	rnmV	gene		50087	50647	50087	50647	1	50087	50647	Y	
NC_000964.3	50640	51518	+	BSU00420	ksgA	gene		50640	51518	50640	51518	1	50640	51518	Y	
NC_000964.3	51680	52552	+	BSU00430	yabG	gene		51680	52552	51680	52552	1	51680	52552	Y	
NC_000964.3	52763	53023	+	BSU00440	veg	gene		52763	53023	52763	53023	1	52763	53023	Y	
NC_000964.3	53183	53368	+	BSU00450	sspF	gene		53183	53368	53183	53368	1	53183	53368	Y	
NC_000964.3	53363	55717	-	BSU_none_54	S31	ncRNA		53363	55717	53363	55717	1	53363	55717	Y	
NC_000964.3	53516	54385	+	BSU00460	ipk	gene		53516	54385	53516	54385	1	53516	54385	Y	
NC_000964.3	54441	55298	+	BSU00470	purR	gene		54441	55298	54441	55298	1	54441	55298	Y	
NC_000964.3	55295	55672	+	BSU00480	yabJ	gene		55295	55672	55295	55672	1	55295	55672	Y	
NC_000964.3	55866	56159	+	BSU00490	spoVG	gene		55866	56159	55866	56159	1	55866	56159	Y	
NC_000964.3	56352	57722	+	BSU00500	glmU	gene		56352	57722	56352	57722	1	56352	57722	Y	
NC_000964.3	57745	58698	+	BSU00510	prs	gene		57745	58698	57745	58698	1	57745	58698	Y	
NC_000964.3	58783	59397	+	BSU00520	ctc	gene		58783	59397	58783	59397	1	58783	59397	Y	
NC_000964.3	59504	60070	+	BSU00530	pth	gene		59504	60070	59504	60070	1	59504	60070	Y	
NC_000964.3	60130	60360	+	BSU00540	yabK	gene		60130	60360	60130	60360	1	60130	60360	Y	
NC_000964.3	60430	63963	+	BSU00550	mfd	gene		60430	63963	60430	63963	1	60430	63963	Y	
NC_000964.3	64099	64635	+	BSU00560	spoVT	gene		64099	64635	64099	64635	1	64099	64635	Y	
NC_000964.3	64817	66415	+	BSU00570	yabM	gene		64817	66415	64817	66415	1	64817	66415	Y	
NC_000964.3	66405	67874	+	BSU00580	yabN	gene		66405	67874	66405	67874	1	66405	67874	Y	
NC_000964.3	67877	68137	+	BSU00590	yabO	gene		67877	68137	67877	68137	1	67877	68137	Y	
NC_000964.3	68216	68518	+	BSU00600	yabP	gene		68216	68518	68216	68518	1	68216	68518	Y	
NC_000964.3	68515	69150	+	BSU00610	yabQ	gene		68515	69150	68515	69150	1	68515	69150	Y	
NC_000964.3	69168	69545	+	BSU00620	divIC	gene		69168	69545	69168	69545	1	69168	69545	Y	
NC_000964.3	69626	70012	+	BSU00630	yabR	gene		69626	70012	69626	70012	1	69626	70012	Y	
NC_000964.3	70181	70257	+	BSU_TRNA_10	trnSL-Met1	tRNA		70181	70257	70181	70257	1	70181	70257	Y	
NC_000964.3	70267	70338	+	BSU_TRNA_11	trnSL-Glu1	tRNA		70267	70338	70267	70338	1	70267	70338	Y	
NC_000964.3	70538	73021	+	BSU00640	spoIIE	gene		70538	73021	70538	73021	1	70538	73021	Y	
NC_000964.3	71190	71799	-	BSU_none_55	S37	ncRNA		71190	71799	71190	71799	1	71190	71799	Y	
NC_000964.3	73106	73843	+	BSU00650	yabS	gene		73106	73843	73106	73843	1	73106	73843	Y	
